category,name,unit,unit_price_cad_low,unit_price_cad_typical,unit_price_cad_high,source_url,last_verified,notes
carpenter,General carpenter,per hour,65,90,120,https://www.jobbank.gc.ca/marketreport/wages-occupation/6388/ON,2026-05-03,Canada Job Bank Muskoka-Kawarthas employment wages: $22–$48/hr. Contractor billing rate (labour-only to client) typically 2.5–3x employment wage in cottage-country market. Low end reflects smaller residential jobs; high end reflects premium finish work. Confirmed $50–$150/hr GC range in Bracebridge via HomeStars (https://www.homestars.com/home-constructions-renovations/general-contractor-pros/bracebridge). Muskoka construction costs run 20–40% above rural Ontario average per multiple Muskoka builder sources. Prices exclude HST.
carpenter,Lead carpenter / journeyman,per hour,85,110,145,https://www.jobbank.gc.ca/marketreport/wages-occupation/6388/ON,2026-05-03,Canada Job Bank Muskoka-Kawarthas median carpenter wage $32/hr; high $48/hr (Nov 2025 data). Journeyman billing rate to client typically 3–3.5x employment wage in premium cottage market. Canada Construction Network reports Ontario average carpenter at $31.80/hr employment wage (Mar 2026) at https://canadaconstructionnetwork.com/reports/contractor-wages-carpenter-rates-across-canada-2026. Vista Builders 2026 guide cites carpentry at $40–$75/hr billed — that is mainland Ontario baseline; Muskoka adds 20–30%. Prices exclude HST.
carpenter,Apprentice carpenter,per hour,45,60,80,https://on.jobbank.gc.ca/marketreport/wages-occupation/6382/ON,2026-05-03,"Canada Job Bank Ontario apprentice carpenter: $22–$48/hr employment wage (Muskoka-Kawarthas same as provincial). Carpenters ICI Drywall Agreement 2025-2028 sets 1st-term apprentice at $28.67/hr (60% of journeyperson rate) — ICI union scale, higher than typical residential. Residential billing estimate for apprentice: 1.8–2.2x employment wage, reflecting supervision overhead in cottage-country market. Source also: https://www.isca.ca/wp-content/uploads/2025/08/Carpenters-ICI-Drywall-Agreement-2025-2028.pdf. Prices exclude HST."
plumbing,Licensed plumber,per hour,130,155,185,https://www.plumbwize.ca/blog/plumber-cost-ontario/,2026-05-03,"PlumbWize Ontario 2026 guide: standard plumbing labour $110–$145/hr; Premier Plumbing Toronto range $110–$200/hr (https://premierplumbing.ca/plumbing-cost-guide/). Canada Job Bank Ontario median plumber wage $32.50/hr; top earners $50.38/hr per Herzing Canada (https://blog.herzing.ca/trades/how-much-do-plumbers-make-in-ontario-latest-salary-info). Muskoka premium +15–25% over base Ontario rural rates applies given travel, logistics, and limited local tradespeople. Service-call minimum: 1-hour charge, commonly $150–$200 call-out fee absorbed or billed at $150–$175 minimum on top of hourly. After-hours: $200–$350/hr. Prices exclude HST."
electrical,Licensed electrician,per hour,110,135,175,https://grizzli.app/blog/electrician-charges-per-hour-ontario,2026-05-03,Grizzli 2026 Ontario electrician guide: journeyman $80–$130/hr province-wide; Kitchener-Waterloo-Barrie region (closest proxy to Muskoka) $95–$140/hr. Muskoka/cottage-country premium estimated at +15–25% above Barrie-area baseline given travel and limited licensed contractors. Service-call minimum: typically 1-hour minimum; many Muskoka shops charge 2-hour minimum for off-site calls = $220–$350 minimum bill. Master electrician/owner-operator: $150–$200/hr province-wide. Sources also: https://padielectric.ca/how-much-do-residential-electricians-charge-near-me/ and ECRA/ESA licensing registry at https://www.esasafe.com. Prices exclude HST.
drywall,Drywaller — board + tape + mud + sand + ready-to-prime,per sqft installed,2.25,3.25,4.50,https://csgrenovation.ca/blog/drywall-cost-per-square-foot/,2026-05-03,"CSG Renovation Canada guide: full drywall installation (hanging + taping + finishing to Level 4/5) $1.50–$3.50/sqft nationally. Toronto professional rates: $1.75–$3.75/sqft for mud and tape alone (GMC Construction, https://gmco.ca/2025-drywall-costs-toronto/). Construct Estimates 2026: $1.50–$3.50/sqft. Muskoka premium +20–30% over Toronto/suburban baseline reflecting supply chain, travel, and cottage labour scarcity. Range shown is total installed (board + tape + mud + sand + ready-to-prime per task description). Level 4/5 finishes typical for Muskoka renovation clients. Prices exclude HST."
painting,Painter — two-coat interior walls,per sqft,1.50,2.50,4.00,https://www.proworkspainting.com/blog-posts/interior-painting-prices-in-canada-2025,2026-05-03,"Pro Works Canada 2025: interior walls $1–$4/sqft; Absolute Home Services Toronto: $2–$3/sqft (https://www.absolutehomeservices.ca/blog/the-cost-of-painting-a-house-in-toronto-average-prices-factors-that-affect-them). InsideOut Painting 2025 data: $2–$6/sqft with $2.75/sqft average (https://www.insideoutpainting.ca/blog/how-much-does-it-cost-to-paint-the-interior-of-a-house-2025-data). Rates shown are LABOUR only for two-coat interior application; paint material is separate. Muskoka premium applies for travel and scheduling. High end reflects vaulted/cathedral ceilings, complex trim, and tight scheduling windows. Prices exclude HST."
tile,Tile setter — standard floor/wall tile labour only,per sqft installed,8,12,18,https://apollotile.com/blogs/our-blogs/tile-labor-cost-per-square-foot-a-complete-guide,2026-05-03,"Apollo Tile comprehensive guide: labour $4–$32/sqft depending on complexity and region. Elit Tile 2025: basic installs $4–$12/sqft; intricate patterns $8–$20/sqft. US-based benchmark but Canadian pricing within 10–15%. Ontario/Toronto range for standard tile (straight lay, bathroom/kitchen floor): $8–$15/sqft labour only. Muskoka premium +15–25% over Toronto suburban baseline. High end ($18) reflects herringbone, large-format (24×24+), or boat-access deliveries. Prices exclude HST."
flooring,Flooring installer — hardwood (nail-down/glue-down),per sqft labour only,4.50,6.00,9.00,https://supremeflooring.ca/hardwood-flooring-installation-costs/,2026-05-03,"Supreme Flooring Ontario 2026: labour $3–$6/sqft southern Ontario standard install; Big Bro Hardwood: nail-down $3.50–$6.50/sqft, glue-down $5.50–$9.50/sqft (https://bigbrohardwood.com/hardwood-floor-installation-cost-in-2025-price-per-square-foot-and-hidden-fees/). VC Floor Canada 2026: $4–$10/sqft labour average (https://vcfloor.ca/hardwood-flooring-installation-cost-in-canada/). Muskoka premium +20–25% over southern Ontario baseline. Labour only; materials separate. High end reflects exotic species, complex patterns, or access difficulty. Prices exclude HST."
flooring,Flooring installer — LVP / laminate (floating/click-lock),per sqft labour only,2.50,3.50,5.50,https://www.hardwood-parqueteam.ca/hardwood-flooring-blog/how-much-does-laminate-flooring-cost-in-toronto-2025-guide,2026-05-03,"Parqueteam Toronto 2025: laminate installation $1.50–$2.50/sqft base Toronto labour. Pro Flooring Installers 2025: LVP/laminate $1.50–$3.00/sqft (https://www.proflooringinstallers.com/flooring-installation-cost-in-2025-complete-pricing-guide/). Muskoka premium +20–30% over Toronto suburban baseline — cottage scheduling, access, and travel justify upper range. LVP glue-down adds $1–$1.50/sqft. High end reflects difficult access (boat-in sites), removal of old flooring, or LVP glue-down method. Labour only; materials separate. Prices exclude HST."
